"x","y","value","Count","LABEL3","Red","Green","Blue","CODE_18"
2845750,1747250,12,121469220,"Non-irrigated arable land",1,1,0.658823529412,"211"
2845850,1747250,12,121469220,"Non-irrigated arable land",1,1,0.658823529412,"211"
2845950,1747250,12,121469220,"Non-irrigated arable land",1,1,0.658823529412,"211"
2846050,1747250,12,121469220,"Non-irrigated arable land",1,1,0.658823529412,"211"
2844250,1747150,7,820443,"Mineral extraction sites",0.650980392157,0,0.8,"131"
2844350,1747150,7,820443,"Mineral extraction sites",0.650980392157,0,0.8,"131"
2844450,1747150,7,820443,"Mineral extraction sites",0.650980392157,0,0.8,"131"
2844550,1747150,7,820443,"Mineral extraction sites",0.650980392157,0,0.8,"131"
2844650,1747150,7,820443,"Mineral extraction sites",0.650980392157,0,0.8,"131"
2844750,1747150,12,121469220,"Non-irrigated arable land",1,1,0.658823529412,"211"
2844850,1747150,12,121469220,"Non-irrigated arable land",1,1,0.658823529412,"211"
2844950,1747150,12,121469220,"Non-irrigated arable land",1,1,0.658823529412,"211"
2845050,1747150,12,121469220,"Non-irrigated arable land",1,1,0.658823529412,"211"
2845150,1747150,12,121469220,"Non-irrigated arable land",1,1,0.658823529412,"211"
2845250,1747150,12,121469220,"Non-irrigated arable land",1,1,0.658823529412,"211"
2845350,1747150,12,121469220,"Non-irrigated arable land",1,1,0.658823529412,"211"
2845450,1747150,12,121469220,"Non-irrigated arable land",1,1,0.658823529412,"211"
2845550,1747150,12,121469220,"Non-irrigated arable land",1,1,0.658823529412,"211"
2845650,1747150,12,121469220,"Non-irrigated arable land",1,1,0.658823529412,"211"
2845750,1747150,12,121469220,"Non-irrigated arable land",1,1,0.658823529412,"211"
2845850,1747150,12,121469220,"Non-irrigated arable land",1,1,0.658823529412,"211"
2845950,1747150,12,121469220,"Non-irrigated arable land",1,1,0.658823529412,"211"
2846050,1747150,12,121469220,"Non-irrigated arable land",1,1,0.658823529412,"211"
2846150,1747150,12,121469220,"Non-irrigated arable land",1,1,0.658823529412,"211"
2846250,1747150,12,121469220,"Non-irrigated arable land",1,1,0.658823529412,"211"
2844050,1747050,17,5247375,"Olive groves",0.901960784314,0.650980392157,0,"223"
2844150,1747050,17,5247375,"Olive groves",0.901960784314,0.650980392157,0,"223"
2844250,1747050,17,5247375,"Olive groves",0.901960784314,0.650980392157,0,"223"
2844350,1747050,17,5247375,"Olive groves",0.901960784314,0.650980392157,0,"223"
2844450,1747050,17,5247375,"Olive groves",0.901960784314,0.650980392157,0,"223"
2844550,1747050,17,5247375,"Olive groves",0.901960784314,0.650980392157,0,"223"
2844650,1747050,17,5247375,"Olive groves",0.901960784314,0.650980392157,0,"223"
2844750,1747050,7,820443,"Mineral extraction sites",0.650980392157,0,0.8,"131"
2844850,1747050,12,121469220,"Non-irrigated arable land",1,1,0.658823529412,"211"
2844950,1747050,12,121469220,"Non-irrigated arable land",1,1,0.658823529412,"211"
2845050,1747050,12,121469220,"Non-irrigated arable land",1,1,0.658823529412,"211"
2845150,1747050,12,121469220,"Non-irrigated arable land",1,1,0.658823529412,"211"
2845250,1747050,12,121469220,"Non-irrigated arable land",1,1,0.658823529412,"211"
2845350,1747050,12,121469220,"Non-irrigated arable land",1,1,0.658823529412,"211"
2845450,1747050,12,121469220,"Non-irrigated arable land",1,1,0.658823529412,"211"
2845550,1747050,12,121469220,"Non-irrigated arable land",1,1,0.658823529412,"211"
2845650,1747050,12,121469220,"Non-irrigated arable land",1,1,0.658823529412,"211"
2845750,1747050,12,121469220,"Non-irrigated arable land",1,1,0.658823529412,"211"
2845850,1747050,12,121469220,"Non-irrigated arable land",1,1,0.658823529412,"211"
2845950,1747050,12,121469220,"Non-irrigated arable land",1,1,0.658823529412,"211"
2846050,1747050,12,121469220,"Non-irrigated arable land",1,1,0.658823529412,"211"
2846150,1747050,12,121469220,"Non-irrigated arable land",1,1,0.658823529412,"211"
2846250,1747050,12,121469220,"Non-irrigated arable land",1,1,0.658823529412,"211"
2846350,1747050,12,121469220,"Non-irrigated arable land",1,1,0.658823529412,"211"
2843950,1746950,12,121469220,"Non-irrigated arable land",1,1,0.658823529412,"211"
2844050,1746950,12,121469220,"Non-irrigated arable land",1,1,0.658823529412,"211"
2844150,1746950,17,5247375,"Olive groves",0.901960784314,0.650980392157,0,"223"
2844250,1746950,17,5247375,"Olive groves",0.901960784314,0.650980392157,0,"223"
2844350,1746950,17,5247375,"Olive groves",0.901960784314,0.650980392157,0,"223"
2844450,1746950,7,820443,"Mineral extraction sites",0.650980392157,0,0.8,"131"
2844550,1746950,7,820443,"Mineral extraction sites",0.650980392157,0,0.8,"131"
2844650,1746950,17,5247375,"Olive groves",0.901960784314,0.650980392157,0,"223"
2844750,1746950,7,820443,"Mineral extraction sites",0.650980392157,0,0.8,"131"
2844850,1746950,12,121469220,"Non-irrigated arable land",1,1,0.658823529412,"211"
2844950,1746950,12,121469220,"Non-irrigated arable land",1,1,0.658823529412,"211"
2845050,1746950,12,121469220,"Non-irrigated arable land",1,1,0.658823529412,"211"
2845150,1746950,12,121469220,"Non-irrigated arable land",1,1,0.658823529412,"211"
2845250,1746950,12,121469220,"Non-irrigated arable land",1,1,0.658823529412,"211"
2845350,1746950,12,121469220,"Non-irrigated arable land",1,1,0.658823529412,"211"
2845450,1746950,12,121469220,"Non-irrigated arable land",1,1,0.658823529412,"211"
2845550,1746950,12,121469220,"Non-irrigated arable land",1,1,0.658823529412,"211"
2845650,1746950,12,121469220,"Non-irrigated arable land",1,1,0.658823529412,"211"
2845750,1746950,12,121469220,"Non-irrigated arable land",1,1,0.658823529412,"211"
2845850,1746950,12,121469220,"Non-irrigated arable land",1,1,0.658823529412,"211"
2845950,1746950,12,121469220,"Non-irrigated arable land",1,1,0.658823529412,"211"
2846050,1746950,12,121469220,"Non-irrigated arable land",1,1,0.658823529412,"211"
2846150,1746950,12,121469220,"Non-irrigated arable land",1,1,0.658823529412,"211"
2846250,1746950,12,121469220,"Non-irrigated arable land",1,1,0.658823529412,"211"
2846350,1746950,20,24295716,"Complex cultivation patterns",1,0.901960784314,0.301960784314,"242"
2846450,1746950,20,24295716,"Complex cultivation patterns",1,0.901960784314,0.301960784314,"242"
2843850,1746850,12,121469220,"Non-irrigated arable land",1,1,0.658823529412,"211"
2843950,1746850,12,121469220,"Non-irrigated arable land",1,1,0.658823529412,"211"
2844050,1746850,12,121469220,"Non-irrigated arable land",1,1,0.658823529412,"211"
2844150,1746850,12,121469220,"Non-irrigated arable land",1,1,0.658823529412,"211"
2844250,1746850,12,121469220,"Non-irrigated arable land",1,1,0.658823529412,"211"
2844350,1746850,17,5247375,"Olive groves",0.901960784314,0.650980392157,0,"223"
2844450,1746850,17,5247375,"Olive groves",0.901960784314,0.650980392157,0,"223"
2844550,1746850,7,820443,"Mineral extraction sites",0.650980392157,0,0.8,"131"
2844650,1746850,7,820443,"Mineral extraction sites",0.650980392157,0,0.8,"131"
2844750,1746850,7,820443,"Mineral extraction sites",0.650980392157,0,0.8,"131"
2844850,1746850,7,820443,"Mineral extraction sites",0.650980392157,0,0.8,"131"
2844950,1746850,12,121469220,"Non-irrigated arable land",1,1,0.658823529412,"211"
2845050,1746850,12,121469220,"Non-irrigated arable land",1,1,0.658823529412,"211"
2845150,1746850,12,121469220,"Non-irrigated arable land",1,1,0.658823529412,"211"
2845250,1746850,12,121469220,"Non-irrigated arable land",1,1,0.658823529412,"211"
2845350,1746850,12,121469220,"Non-irrigated arable land",1,1,0.658823529412,"211"
2845450,1746850,12,121469220,"Non-irrigated arable land",1,1,0.658823529412,"211"
2845550,1746850,12,121469220,"Non-irrigated arable land",1,1,0.658823529412,"211"
2845650,1746850,12,121469220,"Non-irrigated arable land",1,1,0.658823529412,"211"
2845750,1746850,12,121469220,"Non-irrigated arable land",1,1,0.658823529412,"211"
2845850,1746850,12,121469220,"Non-irrigated arable land",1,1,0.658823529412,"211"
2845950,1746850,12,121469220,"Non-irrigated arable land",1,1,0.658823529412,"211"
2846050,1746850,12,121469220,"Non-irrigated arable land",1,1,0.658823529412,"211"
2846150,1746850,12,121469220,"Non-irrigated arable land",1,1,0.658823529412,"211"
2846250,1746850,12,121469220,"Non-irrigated arable land",1,1,0.658823529412,"211"
2846350,1746850,20,24295716,"Complex cultivation patterns",1,0.901960784314,0.301960784314,"242"
2846450,1746850,20,24295716,"Complex cultivation patterns",1,0.901960784314,0.301960784314,"242"
2846550,1746850,20,24295716,"Complex cultivation patterns",1,0.901960784314,0.301960784314,"242"
2843750,1746750,12,121469220,"Non-irrigated arable land",1,1,0.658823529412,"211"
2843850,1746750,12,121469220,"Non-irrigated arable land",1,1,0.658823529412,"211"
2843950,1746750,12,121469220,"Non-irrigated arable land",1,1,0.658823529412,"211"
2844050,1746750,12,121469220,"Non-irrigated arable land",1,1,0.658823529412,"211"
2844150,1746750,12,121469220,"Non-irrigated arable land",1,1,0.658823529412,"211"
2844250,1746750,12,121469220,"Non-irrigated arable land",1,1,0.658823529412,"211"
2844350,1746750,17,5247375,"Olive groves",0.901960784314,0.650980392157,0,"223"
2844450,1746750,12,121469220,"Non-irrigated arable land",1,1,0.658823529412,"211"
2844550,1746750,17,5247375,"Olive groves",0.901960784314,0.650980392157,0,"223"
2844650,1746750,7,820443,"Mineral extraction sites",0.650980392157,0,0.8,"131"
2844750,1746750,12,121469220,"Non-irrigated arable land",1,1,0.658823529412,"211"
2844850,1746750,12,121469220,"Non-irrigated arable land",1,1,0.658823529412,"211"
2844950,1746750,7,820443,"Mineral extraction sites",0.650980392157,0,0.8,"131"
2845050,1746750,7,820443,"Mineral extraction sites",0.650980392157,0,0.8,"131"
2845150,1746750,12,121469220,"Non-irrigated arable land",1,1,0.658823529412,"211"
2845250,1746750,12,121469220,"Non-irrigated arable land",1,1,0.658823529412,"211"
2845350,1746750,12,121469220,"Non-irrigated arable land",1,1,0.658823529412,"211"
2845450,1746750,12,121469220,"Non-irrigated arable land",1,1,0.658823529412,"211"
2845550,1746750,12,121469220,"Non-irrigated arable land",1,1,0.658823529412,"211"
2845650,1746750,12,121469220,"Non-irrigated arable land",1,1,0.658823529412,"211"
2845750,1746750,12,121469220,"Non-irrigated arable land",1,1,0.658823529412,"211"
2845850,1746750,12,121469220,"Non-irrigated arable land",1,1,0.658823529412,"211"
2845950,1746750,20,24295716,"Complex cultivation patterns",1,0.901960784314,0.301960784314,"242"
2846050,1746750,12,121469220,"Non-irrigated arable land",1,1,0.658823529412,"211"
2846150,1746750,12,121469220,"Non-irrigated arable land",1,1,0.658823529412,"211"
2846250,1746750,12,121469220,"Non-irrigated arable land",1,1,0.658823529412,"211"
2846350,1746750,20,24295716,"Complex cultivation patterns",1,0.901960784314,0.301960784314,"242"
2846450,1746750,20,24295716,"Complex cultivation patterns",1,0.901960784314,0.301960784314,"242"
2846550,1746750,20,24295716,"Complex cultivation patterns",1,0.901960784314,0.301960784314,"242"
2846650,1746750,20,24295716,"Complex cultivation patterns",1,0.901960784314,0.301960784314,"242"
2843650,1746650,12,121469220,"Non-irrigated arable land",1,1,0.658823529412,"211"
2843750,1746650,12,121469220,"Non-irrigated arable land",1,1,0.658823529412,"211"
2843850,1746650,12,121469220,"Non-irrigated arable land",1,1,0.658823529412,"211"
2843950,1746650,12,121469220,"Non-irrigated arable land",1,1,0.658823529412,"211"
2844050,1746650,12,121469220,"Non-irrigated arable land",1,1,0.658823529412,"211"
2844150,1746650,12,121469220,"Non-irrigated arable land",1,1,0.658823529412,"211"
2844250,1746650,12,121469220,"Non-irrigated arable land",1,1,0.658823529412,"211"
2844350,1746650,17,5247375,"Olive groves",0.901960784314,0.650980392157,0,"223"
2844450,1746650,17,5247375,"Olive groves",0.901960784314,0.650980392157,0,"223"
2844550,1746650,17,5247375,"Olive groves",0.901960784314,0.650980392157,0,"223"
2844650,1746650,12,121469220,"Non-irrigated arable land",1,1,0.658823529412,"211"
2844750,1746650,12,121469220,"Non-irrigated arable land",1,1,0.658823529412,"211"
2844850,1746650,12,121469220,"Non-irrigated arable land",1,1,0.658823529412,"211"
2844950,1746650,12,121469220,"Non-irrigated arable land",1,1,0.658823529412,"211"
2845050,1746650,12,121469220,"Non-irrigated arable land",1,1,0.658823529412,"211"
2845150,1746650,7,820443,"Mineral extraction sites",0.650980392157,0,0.8,"131"
2845250,1746650,7,820443,"Mineral extraction sites",0.650980392157,0,0.8,"131"
2845350,1746650,12,121469220,"Non-irrigated arable land",1,1,0.658823529412,"211"
2845450,1746650,12,121469220,"Non-irrigated arable land",1,1,0.658823529412,"211"
2845550,1746650,12,121469220,"Non-irrigated arable land",1,1,0.658823529412,"211"
2845650,1746650,12,121469220,"Non-irrigated arable land",1,1,0.658823529412,"211"
2845750,1746650,12,121469220,"Non-irrigated arable land",1,1,0.658823529412,"211"
2845850,1746650,12,121469220,"Non-irrigated arable land",1,1,0.658823529412,"211"
2845950,1746650,20,24295716,"Complex cultivation patterns",1,0.901960784314,0.301960784314,"242"
2846050,1746650,20,24295716,"Complex cultivation patterns",1,0.901960784314,0.301960784314,"242"
2846150,1746650,20,24295716,"Complex cultivation patterns",1,0.901960784314,0.301960784314,"242"
2846250,1746650,20,24295716,"Complex cultivation patterns",1,0.901960784314,0.301960784314,"242"
2846350,1746650,20,24295716,"Complex cultivation patterns",1,0.901960784314,0.301960784314,"242"
2846450,1746650,20,24295716,"Complex cultivation patterns",1,0.901960784314,0.301960784314,"242"
2846550,1746650,20,24295716,"Complex cultivation patterns",1,0.901960784314,0.301960784314,"242"
2846650,1746650,20,24295716,"Complex cultivation patterns",1,0.901960784314,0.301960784314,"242"
2846750,1746650,20,24295716,"Complex cultivation patterns",1,0.901960784314,0.301960784314,"242"
2843550,1746550,12,121469220,"Non-irrigated arable land",1,1,0.658823529412,"211"
2843650,1746550,12,121469220,"Non-irrigated arable land",1,1,0.658823529412,"211"
2843750,1746550,12,121469220,"Non-irrigated arable land",1,1,0.658823529412,"211"
2843850,1746550,12,121469220,"Non-irrigated arable land",1,1,0.658823529412,"211"
2843950,1746550,12,121469220,"Non-irrigated arable land",1,1,0.658823529412,"211"
2844050,1746550,12,121469220,"Non-irrigated arable land",1,1,0.658823529412,"211"
2844150,1746550,12,121469220,"Non-irrigated arable land",1,1,0.658823529412,"211"
2844250,1746550,12,121469220,"Non-irrigated arable land",1,1,0.658823529412,"211"
2844350,1746550,12,121469220,"Non-irrigated arable land",1,1,0.658823529412,"211"
2844450,1746550,17,5247375,"Olive groves",0.901960784314,0.650980392157,0,"223"
2844550,1746550,17,5247375,"Olive groves",0.901960784314,0.650980392157,0,"223"
2844650,1746550,12,121469220,"Non-irrigated arable land",1,1,0.658823529412,"211"
2844750,1746550,12,121469220,"Non-irrigated arable land",1,1,0.658823529412,"211"
2844850,1746550,12,121469220,"Non-irrigated arable land",1,1,0.658823529412,"211"
2844950,1746550,12,121469220,"Non-irrigated arable land",1,1,0.658823529412,"211"
2845050,1746550,12,121469220,"Non-irrigated arable land",1,1,0.658823529412,"211"
2845150,1746550,12,121469220,"Non-irrigated arable land",1,1,0.658823529412,"211"
2845250,1746550,20,24295716,"Complex cultivation patterns",1,0.901960784314,0.301960784314,"242"
2845350,1746550,7,820443,"Mineral extraction sites",0.650980392157,0,0.8,"131"
2845450,1746550,7,820443,"Mineral extraction sites",0.650980392157,0,0.8,"131"
2845550,1746550,12,121469220,"Non-irrigated arable land",1,1,0.658823529412,"211"
2845650,1746550,20,24295716,"Complex cultivation patterns",1,0.901960784314,0.301960784314,"242"
2845750,1746550,12,121469220,"Non-irrigated arable land",1,1,0.658823529412,"211"
2845850,1746550,20,24295716,"Complex cultivation patterns",1,0.901960784314,0.301960784314,"242"
2845950,1746550,20,24295716,"Complex cultivation patterns",1,0.901960784314,0.301960784314,"242"
2846050,1746550,20,24295716,"Complex cultivation patterns",1,0.901960784314,0.301960784314,"242"
2846150,1746550,20,24295716,"Complex cultivation patterns",1,0.901960784314,0.301960784314,"242"
2846250,1746550,20,24295716,"Complex cultivation patterns",1,0.901960784314,0.301960784314,"242"
2846350,1746550,20,24295716,"Complex cultivation patterns",1,0.901960784314,0.301960784314,"242"
2846450,1746550,20,24295716,"Complex cultivation patterns",1,0.901960784314,0.301960784314,"242"
2846550,1746550,20,24295716,"Complex cultivation patterns",1,0.901960784314,0.301960784314,"242"
2846650,1746550,20,24295716,"Complex cultivation patterns",1,0.901960784314,0.301960784314,"242"
2846750,1746550,20,24295716,"Complex cultivation patterns",1,0.901960784314,0.301960784314,"242"
2846850,1746550,20,24295716,"Complex cultivation patterns",1,0.901960784314,0.301960784314,"242"
2843550,1746450,12,121469220,"Non-irrigated arable land",1,1,0.658823529412,"211"
2843650,1746450,12,121469220,"Non-irrigated arable land",1,1,0.658823529412,"211"
2843750,1746450,12,121469220,"Non-irrigated arable land",1,1,0.658823529412,"211"
2843850,1746450,12,121469220,"Non-irrigated arable land",1,1,0.658823529412,"211"
2843950,1746450,12,121469220,"Non-irrigated arable land",1,1,0.658823529412,"211"
2844050,1746450,12,121469220,"Non-irrigated arable land",1,1,0.658823529412,"211"
2844150,1746450,12,121469220,"Non-irrigated arable land",1,1,0.658823529412,"211"
2844250,1746450,12,121469220,"Non-irrigated arable land",1,1,0.658823529412,"211"
2844350,1746450,12,121469220,"Non-irrigated arable land",1,1,0.658823529412,"211"
2844450,1746450,12,121469220,"Non-irrigated arable land",1,1,0.658823529412,"211"
2844550,1746450,17,5247375,"Olive groves",0.901960784314,0.650980392157,0,"223"
2844650,1746450,12,121469220,"Non-irrigated arable land",1,1,0.658823529412,"211"
2844750,1746450,12,121469220,"Non-irrigated arable land",1,1,0.658823529412,"211"
2844850,1746450,12,121469220,"Non-irrigated arable land",1,1,0.658823529412,"211"
2844950,1746450,12,121469220,"Non-irrigated arable land",1,1,0.658823529412,"211"
2845050,1746450,12,121469220,"Non-irrigated arable land",1,1,0.658823529412,"211"
2845150,1746450,12,121469220,"Non-irrigated arable land",1,1,0.658823529412,"211"
2845250,1746450,12,121469220,"Non-irrigated arable land",1,1,0.658823529412,"211"
2845350,1746450,20,24295716,"Complex cultivation patterns",1,0.901960784314,0.301960784314,"242"
2845450,1746450,20,24295716,"Complex cultivation patterns",1,0.901960784314,0.301960784314,"242"
2845550,1746450,20,24295716,"Complex cultivation patterns",1,0.901960784314,0.301960784314,"242"
2845650,1746450,20,24295716,"Complex cultivation patterns",1,0.901960784314,0.301960784314,"242"
2845750,1746450,20,24295716,"Complex cultivation patterns",1,0.901960784314,0.301960784314,"242"
2845850,1746450,20,24295716,"Complex cultivation patterns",1,0.901960784314,0.301960784314,"242"
2845950,1746450,20,24295716,"Complex cultivation patterns",1,0.901960784314,0.301960784314,"242"
2846050,1746450,20,24295716,"Complex cultivation patterns",1,0.901960784314,0.301960784314,"242"
2846150,1746450,20,24295716,"Complex cultivation patterns",1,0.901960784314,0.301960784314,"242"
2846250,1746450,20,24295716,"Complex cultivation patterns",1,0.901960784314,0.301960784314,"242"
2846350,1746450,20,24295716,"Complex cultivation patterns",1,0.901960784314,0.301960784314,"242"
2846450,1746450,20,24295716,"Complex cultivation patterns",1,0.901960784314,0.301960784314,"242"
2846550,1746450,20,24295716,"Complex cultivation patterns",1,0.901960784314,0.301960784314,"242"
2846650,1746450,20,24295716,"Complex cultivation patterns",1,0.901960784314,0.301960784314,"242"
2846750,1746450,20,24295716,"Complex cultivation patterns",1,0.901960784314,0.301960784314,"242"
2846850,1746450,20,24295716,"Complex cultivation patterns",1,0.901960784314,0.301960784314,"242"
2843450,1746350,12,121469220,"Non-irrigated arable land",1,1,0.658823529412,"211"
2843550,1746350,12,121469220,"Non-irrigated arable land",1,1,0.658823529412,"211"
2843650,1746350,12,121469220,"Non-irrigated arable land",1,1,0.658823529412,"211"
2843750,1746350,12,121469220,"Non-irrigated arable land",1,1,0.658823529412,"211"
2843850,1746350,12,121469220,"Non-irrigated arable land",1,1,0.658823529412,"211"
2843950,1746350,12,121469220,"Non-irrigated arable land",1,1,0.658823529412,"211"
2844050,1746350,12,121469220,"Non-irrigated arable land",1,1,0.658823529412,"211"
2844150,1746350,12,121469220,"Non-irrigated arable land",1,1,0.658823529412,"211"
2844250,1746350,12,121469220,"Non-irrigated arable land",1,1,0.658823529412,"211"
2844350,1746350,12,121469220,"Non-irrigated arable land",1,1,0.658823529412,"211"
2844450,1746350,12,121469220,"Non-irrigated arable land",1,1,0.658823529412,"211"
2844550,1746350,12,121469220,"Non-irrigated arable land",1,1,0.658823529412,"211"
2844650,1746350,12,121469220,"Non-irrigated arable land",1,1,0.658823529412,"211"
2844750,1746350,12,121469220,"Non-irrigated arable land",1,1,0.658823529412,"211"
2844850,1746350,12,121469220,"Non-irrigated arable land",1,1,0.658823529412,"211"
2844950,1746350,12,121469220,"Non-irrigated arable land",1,1,0.658823529412,"211"
2845050,1746350,12,121469220,"Non-irrigated arable land",1,1,0.658823529412,"211"
2845150,1746350,12,121469220,"Non-irrigated arable land",1,1,0.658823529412,"211"
2845250,1746350,12,121469220,"Non-irrigated arable land",1,1,0.658823529412,"211"
2845350,1746350,12,121469220,"Non-irrigated arable land",1,1,0.658823529412,"211"
2845450,1746350,12,121469220,"Non-irrigated arable land",1,1,0.658823529412,"211"
2845550,1746350,20,24295716,"Complex cultivation patterns",1,0.901960784314,0.301960784314,"242"
2845650,1746350,20,24295716,"Complex cultivation patterns",1,0.901960784314,0.301960784314,"242"
2845750,1746350,20,24295716,"Complex cultivation patterns",1,0.901960784314,0.301960784314,"242"
2845850,1746350,20,24295716,"Complex cultivation patterns",1,0.901960784314,0.301960784314,"242"
2845950,1746350,20,24295716,"Complex cultivation patterns",1,0.901960784314,0.301960784314,"242"
2846050,1746350,20,24295716,"Complex cultivation patterns",1,0.901960784314,0.301960784314,"242"
2846150,1746350,20,24295716,"Complex cultivation patterns",1,0.901960784314,0.301960784314,"242"
2846250,1746350,20,24295716,"Complex cultivation patterns",1,0.901960784314,0.301960784314,"242"
2846350,1746350,20,24295716,"Complex cultivation patterns",1,0.901960784314,0.301960784314,"242"
2846450,1746350,20,24295716,"Complex cultivation patterns",1,0.901960784314,0.301960784314,"242"
2846550,1746350,20,24295716,"Complex cultivation patterns",1,0.901960784314,0.301960784314,"242"
2846650,1746350,20,24295716,"Complex cultivation patterns",1,0.901960784314,0.301960784314,"242"
2846750,1746350,12,121469220,"Non-irrigated arable land",1,1,0.658823529412,"211"
2846850,1746350,12,121469220,"Non-irrigated arable land",1,1,0.658823529412,"211"
2846950,1746350,12,121469220,"Non-irrigated arable land",1,1,0.658823529412,"211"
2843450,1746250,12,121469220,"Non-irrigated arable land",1,1,0.658823529412,"211"
2843550,1746250,12,121469220,"Non-irrigated arable land",1,1,0.658823529412,"211"
2843650,1746250,12,121469220,"Non-irrigated arable land",1,1,0.658823529412,"211"
2843750,1746250,12,121469220,"Non-irrigated arable land",1,1,0.658823529412,"211"
2843850,1746250,12,121469220,"Non-irrigated arable land",1,1,0.658823529412,"211"
2843950,1746250,12,121469220,"Non-irrigated arable land",1,1,0.658823529412,"211"
2844050,1746250,12,121469220,"Non-irrigated arable land",1,1,0.658823529412,"211"
2844150,1746250,12,121469220,"Non-irrigated arable land",1,1,0.658823529412,"211"
2844250,1746250,12,121469220,"Non-irrigated arable land",1,1,0.658823529412,"211"
2844350,1746250,12,121469220,"Non-irrigated arable land",1,1,0.658823529412,"211"
2844450,1746250,12,121469220,"Non-irrigated arable land",1,1,0.658823529412,"211"
2844550,1746250,12,121469220,"Non-irrigated arable land",1,1,0.658823529412,"211"
2844650,1746250,12,121469220,"Non-irrigated arable land",1,1,0.658823529412,"211"
2844750,1746250,12,121469220,"Non-irrigated arable land",1,1,0.658823529412,"211"
2844850,1746250,12,121469220,"Non-irrigated arable land",1,1,0.658823529412,"211"
2844950,1746250,12,121469220,"Non-irrigated arable land",1,1,0.658823529412,"211"
2845050,1746250,12,121469220,"Non-irrigated arable land",1,1,0.658823529412,"211"
2845150,1746250,12,121469220,"Non-irrigated arable land",1,1,0.658823529412,"211"
2845250,1746250,12,121469220,"Non-irrigated arable land",1,1,0.658823529412,"211"
2845350,1746250,12,121469220,"Non-irrigated arable land",1,1,0.658823529412,"211"
2845450,1746250,12,121469220,"Non-irrigated arable land",1,1,0.658823529412,"211"
2845550,1746250,12,121469220,"Non-irrigated arable land",1,1,0.658823529412,"211"
2845650,1746250,20,24295716,"Complex cultivation patterns",1,0.901960784314,0.301960784314,"242"
2845750,1746250,20,24295716,"Complex cultivation patterns",1,0.901960784314,0.301960784314,"242"
2845850,1746250,20,24295716,"Complex cultivation patterns",1,0.901960784314,0.301960784314,"242"
2845950,1746250,20,24295716,"Complex cultivation patterns",1,0.901960784314,0.301960784314,"242"
2846050,1746250,20,24295716,"Complex cultivation patterns",1,0.901960784314,0.301960784314,"242"
2846150,1746250,20,24295716,"Complex cultivation patterns",1,0.901960784314,0.301960784314,"242"
2846250,1746250,20,24295716,"Complex cultivation patterns",1,0.901960784314,0.301960784314,"242"
2846350,1746250,20,24295716,"Complex cultivation patterns",1,0.901960784314,0.301960784314,"242"
2846450,1746250,20,24295716,"Complex cultivation patterns",1,0.901960784314,0.301960784314,"242"
2846550,1746250,20,24295716,"Complex cultivation patterns",1,0.901960784314,0.301960784314,"242"
2846650,1746250,20,24295716,"Complex cultivation patterns",1,0.901960784314,0.301960784314,"242"
2846750,1746250,12,121469220,"Non-irrigated arable land",1,1,0.658823529412,"211"
2846850,1746250,12,121469220,"Non-irrigated arable land",1,1,0.658823529412,"211"
2846950,1746250,12,121469220,"Non-irrigated arable land",1,1,0.658823529412,"211"
